prenom;nom;login;ECTSacquis;Moyenne;Choix1;Choix2;Choix3;Choix4;Choix5;Choix6;Choix7;Choix8;mdp;dateNaissance;adresse
Gabrielle;Vasseur;GabrielleVasseur@cy-tech.fr;15;10;902;INEM;IAP;IAC;ICC;VISUA;CS;BI;HPDA;ZEWcBH71;28/07/1996;
Pierre;Mary;PierreMary@cy-tech.fr;15;10;831;VISUA;INEM;BI;IAC;CS;IAP;HPDA;ICC;44COf7qa;22/05/1996;
Michelle;Guibert;MichelleGuibert@cy-tech.fr;15;10;758;VISUA;CS;IAC;INEM;BI;IAP;ICC;HPDA;KimJMkzc;30/10/1995;
Marguerite;de;Margueritede@cy-tech.fr;15;10;367;IAC;CS;IAP;INEM;VISUA;ICC;BI;HPDA;MVp7EkDD;18/12/1995;
Victor;Vasseur;VictorVasseur@cy-tech.fr;15;10;337;VISUA;CS;INEM;IAC;BI;ICC;IAP;HPDA;YAQAhXBm;02/11/1996;
Simone-Gabrielle;Bonnet;Simone-GabrielleBonnet@cy-tech.fr;15;10;301;HPDA;IAP;ICC;BI;VISUA;CS;IAC;INEM;2dbhlCr5;19/04/1996;
Adrien-Xavier;Menard;Adrien-XavierMenard@cy-tech.fr;15;10;291;ICC;IAC;BI;CS;IAP;HPDA;INEM;VISUA;UOOH8oTV;27/01/1995;
Marcel;Carlier;MarcelCarlier@cy-tech.fr;15;10;29;INEM;CS;VISUA;IAC;IAP;ICC;BI;HPDA;ji2XDGBC;01/04/1995;
Zacharie;Muller;ZacharieMuller@cy-tech.fr;15;10;147;VISUA;BI;IAC;IAP;ICC;INEM;CS;HPDA;hrcypNVr;02/12/1996;
Andrée;Mendes;AndréeMendes@cy-tech.fr;15;10;068;VISUA;INEM;CS;BI;IAC;IAP;HPDA;ICC;16JmIarD;03/02/1995;
Auguste;Clerc-Maillard;AugusteClerc-Maillard@cy-tech.fr;15;8;952;HPDA;CS;IAC;BI;IAP;VISUA;ICC;INEM;Ygk7Ed3X;07/04/1995;
Léon;Maillard;LéonMaillard@cy-tech.fr;15;8;768;VISUA;BI;INEM;IAC;CS;IAP;ICC;HPDA;w6V9MwL3;28/01/1996;
Jeanne;Poulain;JeannePoulain@cy-tech.fr;30;13;411;BI;IAC;CS;VISUA;INEM;IAP;ICC;HPDA;YXCnLyPN;16/09/1996;
François;Thomas;FrançoisThomas@cy-tech.fr;30;12;628;BI;INEM;VISUA;IAC;CS;HPDA;ICC;IAP;Ey9nJB0H;23/10/1996;
André;Bouvier;AndréBouvier@cy-tech.fr;30;12;333;BI;IAC;CS;VISUA;INEM;HPDA;IAP;ICC;SkPwxTu4;19/02/1996;
Monique;Lecomte;MoniqueLecomte@cy-tech.fr;15;13;528;BI;CS;IAC;VISUA;INEM;ICC;HPDA;IAP;ZqdLXYPV;05/02/1995;
Gérard;Dufour;GérardDufour@cy-tech.fr;15;13;036;BI;CS;IAC;ICC;VISUA;HPDA;INEM;IAP;WsjI08vF;03/10/1996;
William;Andre;WilliamAndre@cy-tech.fr;15;12;897;BI;CS;VISUA;IAC;INEM;ICC;IAP;HPDA;GF2ph379;08/02/1996;
Gabriel;Blanchet;GabrielBlanchet@cy-tech.fr;15;12;597;BI;IAC;ICC;CS;HPDA;IAP;INEM;VISUA;nXGVQbZP;18/07/1995;
Frédérique;Maillot-Guyot;FrédériqueMaillot-Guyot@cy-tech.fr;15;11;851;BI;INEM;IAC;HPDA;IAP;VISUA;CS;ICC;BdBzbru8;25/06/1996;
Gilbert;Deschamps;GilbertDeschamps@cy-tech.fr;15;11;51;IAP;HPDA;ICC;IAC;VISUA;INEM;CS;BI;TOQUWmzD;09/05/1995;
Élisabeth;Blondel;ÉlisabethBlondel@cy-tech.fr;15;11;261;IAP;IAC;VISUA;ICC;INEM;CS;HPDA;BI;1C3jFat2;08/05/1995;
Henriette-Marthe;Tanguy;Henriette-MartheTanguy@cy-tech.fr;15;10;95;CS;IAC;VISUA;INEM;ICC;IAP;BI;HPDA;79YYlXOX;24/07/1996;
Daniel;Guillon;DanielGuillon@cy-tech.fr;15;10;726;BI;INEM;IAC;ICC;CS;IAP;HPDA;VISUA;apwmR0vL;11/09/1996;
Claude;Gimenez;ClaudeGimenez@cy-tech.fr;15;10;602;CS;IAC;BI;VISUA;INEM;IAP;ICC;HPDA;PlFLIepK;14/06/1995;
Victor;Hubert;VictorHubert@cy-tech.fr;15;10;576;CS;ICC;HPDA;BI;IAC;IAP;VISUA;INEM;Qs3wCxyK;05/05/1996;
Astrid;Fischer;AstridFischer@cy-tech.fr;15;10;427;CS;ICC;IAP;IAC;INEM;HPDA;VISUA;BI;HxJ2uxZF;11/09/1995;
Philippe;De;PhilippeDe@cy-tech.fr;15;9;523;BI;INEM;VISUA;CS;IAC;IAP;ICC;HPDA;Xv2Owxzl;01/11/1995;
Éric;Rousset;ÉricRousset@cy-tech.fr;15;9;459;CS;IAC;BI;IAP;ICC;VISUA;INEM;HPDA;Te7Btwmk;27/12/1995;
Océane;Gauthier;OcéaneGauthier@cy-tech.fr;0;0;IAP;HPDA;BI;IAC;VISUA;CS;ICC;INEM;YpQBXpmE;05/06/1996;
Jules;Cohen;JulesCohen@cy-tech.fr;0;0;IAC;VISUA;BI;CS;INEM;IAP;HPDA;ICC;W5GrDF7A;22/09/1995;
Patrick;Morin;PatrickMorin@cy-tech.fr;15;10;731;BI;CS;IAC;ICC;IAP;INEM;VISUA;HPDA;b9oIHX3A;12/08/1995;
Augustin;David-Rey;AugustinDavid-Rey@cy-tech.fr;15;9;891;CS;IAP;IAC;INEM;ICC;BI;HPDA;VISUA;cbcFIy0H;14/11/1995;
Dorothée;Albert;DorothéeAlbert@cy-tech.fr;15;9;291;CS;BI;INEM;IAC;VISUA;HPDA;ICC;IAP;YQjVgFzc;21/07/1996;
Christophe-Honoré;Mallet;Christophe-HonoréMallet@cy-tech.fr;15;9;255;BI;IAC;VISUA;INEM;CS;IAP;ICC;HPDA;LgEoWLY7;29/07/1996;
Édouard;Leconte;ÉdouardLeconte@cy-tech.fr;15;9;007;IAC;CS;VISUA;INEM;ICC;IAP;BI;HPDA;VnPClTdx;05/10/1995;
Dominique;Leclerc;DominiqueLeclerc@cy-tech.fr;0;0;CS;INEM;ICC;IAP;IAC;VISUA;HPDA;BI;4pdNYduX;27/11/1995;
René;Picard;RenéPicard@cy-tech.fr;0;0;IAC;BI;VISUA;INEM;IAP;ICC;HPDA;CS;4NSlssxe;24/08/1996;
Jules;Arnaud;JulesArnaud@cy-tech.fr;0;0;IAP;IAC;ICC;BI;HPDA;VISUA;CS;INEM;IcCEXBMT;04/01/1996;
Raymond-Édouard;Coulon;Raymond-ÉdouardCoulon@cy-tech.fr;15;1;475;CS;IAC;BI;VISUA;IAP;ICC;HPDA;INEM;YBvjvJRz;18/11/1995;
Joséphine;Martin;JoséphineMartin@cy-tech.fr;0;0;IAC;CS;INEM;VISUA;BI;IAP;HPDA;ICC;84m7iR4m;26/09/1996;
Nath;du;Nathdu@cy-tech.fr;0;0;CS;INEM;IAC;IAP;VISUA;HPDA;ICC;BI;EXH7pfl8;09/04/1996;
Anouk;Fournier;AnoukFournier@cy-tech.fr;0;0;CS;IAC;IAP;INEM;VISUA;ICC;BI;HPDA;sYNpzzjy;04/01/1995;
