prenom,nom,login,ECTSacquis,Moyenne,Choix1,Choix2,Choix3,Choix4,Choix5,Choix6,Choix7,Choix8,mdp,dateNaissance,adresse,numero,rôle
Lucy,Le,LucyLe@cy-tech.fr,15,11,79,CS,IAC,BI,INEM,IAP,ICC,VISUA,HPDA,3KfjjJId,12/03/1996,,Etudiant
Madeleine,Charpentier-Leroux,MadeleineCharpentier-Leroux@cy-tech.fr,15,11,763,IAC,CS,BI,VISUA,INEM,HPDA,IAP,ICC,Iwudmyeo,02/10/1996,,Etudiant
Emmanuel,du,Emmanueldu@cy-tech.fr,15,11,617,IAC,BI,HPDA,IAP,VISUA,CS,INEM,ICC,uvhGDSqS,29/01/1995,,Etudiant
Bernard,de,Bernardde@cy-tech.fr,15,11,602,CS,INEM,BI,IAC,VISUA,IAP,ICC,HPDA,UhT1fXdj,06/05/1996,,Etudiant
Céline,Auger,CélineAuger@cy-tech.fr,15,11,535,IAC,INEM,CS,BI,VISUA,HPDA,IAP,ICC,HsD1bmeT,07/02/1995,,Etudiant
Auguste,Picard,AugustePicard@cy-tech.fr,15,11,53,IAP,ICC,IAC,CS,VISUA,INEM,HPDA,BI,SJ7ehmDM,23/09/1996,,Etudiant
Augustin,Allain,AugustinAllain@cy-tech.fr,15,11,513,CS,IAC,BI,INEM,VISUA,ICC,IAP,HPDA,RVtvNTnH,11/12/1995,,Etudiant
Aurore,Pichon,AurorePichon@cy-tech.fr,15,11,41,CS,ICC,INEM,IAC,IAP,VISUA,HPDA,BI,bgJqdXKV,21/05/1995,,Etudiant
Danielle-Joséphine,Bruneau,Danielle-JoséphineBruneau@cy-tech.fr,15,11,389,CS,INEM,ICC,VISUA,IAP,IAC,HPDA,BI,pnWBJbvC,03/08/1996,,Etudiant
Océane,Nguyen,OcéaneNguyen@cy-tech.fr,15,11,37,CS,HPDA,ICC,IAP,INEM,IAC,BI,VISUA,UCRcZuYQ,26/09/1995,,Etudiant
Alexandre,Perret,AlexandrePerret@cy-tech.fr,15,11,305,HPDA,IAP,IAC,INEM,VISUA,CS,ICC,BI,prldlIUw,01/11/1996,,Etudiant
Gabrielle,Vasseur,GabrielleVasseur@cy-tech.fr,15,10,902,INEM,IAP,IAC,ICC,VISUA,CS,BI,HPDA,ZEWcBH71,28/07/1996,,Etudiant
Pierre,Mary,PierreMary@cy-tech.fr,15,10,831,VISUA,INEM,BI,IAC,CS,IAP,HPDA,ICC,44COf7qa,22/05/1996,,Etudiant
Michelle,Guibert,MichelleGuibert@cy-tech.fr,15,10,758,VISUA,CS,IAC,INEM,BI,IAP,ICC,HPDA,KimJMkzc,30/10/1995,,Etudiant
Marguerite,de,Margueritede@cy-tech.fr,15,10,367,IAC,CS,IAP,INEM,VISUA,ICC,BI,HPDA,MVp7EkDD,18/12/1995,,Etudiant
Victor,Vasseur,VictorVasseur@cy-tech.fr,15,10,337,VISUA,CS,INEM,IAC,BI,ICC,IAP,HPDA,YAQAhXBm,02/11/1996,,Etudiant
Simone-Gabrielle,Bonnet,Simone-GabrielleBonnet@cy-tech.fr,15,10,301,HPDA,IAP,ICC,BI,VISUA,CS,IAC,INEM,2dbhlCr5,19/04/1996,,Etudiant
Adrien-Xavier,Menard,Adrien-XavierMenard@cy-tech.fr,15,10,291,ICC,IAC,BI,CS,IAP,HPDA,INEM,VISUA,UOOH8oTV,27/01/1995,,Etudiant
Marcel,Carlier,MarcelCarlier@cy-tech.fr,15,10,29,INEM,CS,VISUA,IAC,IAP,ICC,BI,HPDA,ji2XDGBC,01/04/1995,,Etudiant
Zacharie,Muller,ZacharieMuller@cy-tech.fr,15,10,147,VISUA,BI,IAC,IAP,ICC,INEM,CS,HPDA,hrcypNVr,02/12/1996,,Etudiant
Andrée,Mendes,AndréeMendes@cy-tech.fr,15,10,068,VISUA,INEM,CS,BI,IAC,IAP,HPDA,ICC,16JmIar
